file	instances	forms	quotes
cover_letter__01__A__r3.txt	3	4,3,4	I removed the numeric targets — the OTIF figure and the cost | Those were my invention, not yours; you'd never given me any | the sentences now read a bit clipped without the targets
marketing_email__02__C__r0.txt	1	4	We're going to say something different
newsletter__04__B__r3.txt	8	4,4,4,4,4,4,5,5	The main point, up front: insight is not an intervention. | Four things I'd want an experienced reader to have. | One note on what I cut | I took out the research finding about vacation effects fadin | which was the only claim in the piece asserting a specific e | Section 3 now opens on the reader's own experience instead,  | The refinement worth having is that "rest" is at least four  | That number is the actual decision — not the diagnosis you'v
blog_post__03__A__r1.txt	5	3,4,5,5,5	Fair — the original didn't specify, so I defaulted to a gene | Here it is again for someone who already knows the standard  | This is the single most common way a well-designed meeting p | The highest-value move and the one nobody writes about | That's worth knowing.
blog_post__02__A__r1.txt	7	1,1,2,4,1,5,1	Here's what I think is actually going wrong. | it's the only mechanism I've seen that makes reading a sched | It's just worth naming honestly | which brings me to the next thing | the only versions I've seen work are the coordinated ones | This is the piece I think is most underrated. | which I think is wrong and leads to bad interventions
linkedin__04__A__r1.txt	3	4,4,4	One note: I've assumed "background" means your audience alre | so this skips the setup and goes at the operational gap inst | tell me the specifics and I'll rebuild it around that
linkedin__03__A__r3.txt	1	3	I removed the closing line about the team building it well
blog_post__01__C__r0.txt	6	4,4,5,2,4,1	Here's what actually matters. | Let's get this out of the way, because a lot of security adv | this matters more than any feature on the marketing page | The honest summary | A note on specifics | my knowledge has a cutoff date
newsletter__01__B__r1.txt	8	4,4,5,5,5,4,2,5	Last issue was the build. This one is for everyone who wrote | So let's skip the foundations and go at the things | The design question that actually matters is | The point isn't the content. | That distinction is worth more than any individual habit. | Some things I've learned doing this badly, repeatedly: | when the honest read is that the routine is now wrong | That last one is the whole exercise, honestly.
marketing_email__03__A__r3.txt	3	3,3,4	**What I removed:** the assertion that the default treatment | Both implied a known outcome I had no basis for. | Still worth a look: the "[X] weeks deep with [number] client
marketing_email__04__A__r1.txt	2	5,4	That last one's the reason I'm writing. | so I've cut the product framing and written these to referen
recommendation__01__B__r3.txt	10	4,4,4,4,4,4,4,4,4,5	three things it doesn't tell you | all four were assertions about what the work showed or produ | I also changed "when a result collapses" to "when a project  | Everything else is untouched. | Two things to check on your end | The anecdote now describes the student's *response* to a set | I can build the paragraph around a different behavior | I left the [Journal] manuscript reference in place | the CV-correction paragraph was already the next thing on th | so the letter tightens rather than suffers
cover_letter__01__B__r3.txt	8	4,4,3,4,4,1,6,6	Short Version — Operations Manager (results claim removed) | here's my read on the job instead | **What I removed:** "Fix the bench and OTIF follows." | Everything else is unchanged. | Two phrases to check | in case your constraint is broader than I read it | though it's framed as reasoning rather than a promise | refers to a future plan's projected return, not a result you
recommendation__01__B__r2.txt	11	4,4,4,4,4,5,4,5,4,4,4	You have the file, so three things it doesn't tell you. | Verdict moved to the first sentence. | Everything after it now functions as support rather than bui | Section headers cut. At this length they'd outnumber the con | Transcript defense dropped | it's the least load-bearing item | One anecdote kept, told faster. | The replication story does more work than the other three po | it survives at nearly full length while everything around it | Caveat and fit advice merged into a single practical paragra | the CV-correction paragraph is the next to go
linkedin__02__A__r1.txt	5	3,4,4,4,4	Fair — | here's a version that assumes the reader already knows where | Or, slightly warmer: | Both assume the audience is people who already know your wor | I can make the middle line land harder instead of staying ge
internal_memo__04__A__r3.txt	2	3,4	I removed the reference to prior incidents, which I had intr | Everything else is unchanged.
product_update__01__B__r1.txt	5	4,4,4,4,5	Here's what changed. | What changed in this version: cut the rationale section | dropped the explanatory glue between features, tightened eve | added a *Known gaps* section | the kind of detail a familiar reader will notice is missing
marketing_email__01__A__r1.txt	2	4,4	I cut the problem setup, the "how it works" explainer, and t | That's why the second section is longer than the first.
cover_letter__02__C__r0.txt	0		
marketing_email__01__A__r3.txt	5	4,4,4,4,1	it came out two versions ago and isn't in the current one | Here's that draft unchanged: | Two things worth knowing: | Worth flagging: everything left is a capability claim | I wrote those from the feature description in your brief, no
recommendation__02__C__r0.txt	3	2,5,5	To be balanced, | It makes the praise credible | carries real weight
recommendation__01__A__r3.txt	5	4,4,4,4,4	One item on the transcript needs a word. | the analysis work above are the better indicators | the null result in paragraph two | I left it in since it's the setup for the anecdote | the paragraph can be reframed around the design and the rean
product_update__02__A__r1.txt	4	4,4,4,5	I've cut the feature comparison, the rationale, and the "wha | assumed your readers already know the new integration exists | that section is the one people will look for first | so it's worth being concrete rather than dropping it
internal_memo__03__B__r2.txt	1	4	aligned on the two changes above
product_update__01__A__r2.txt	0		
newsletter__04__A__r2.txt	6	4,4,2,4,4,5	That's the issue. Everything below is elaboration. | Last time we covered fundamentals. | So here's what's actually happening. | Short list, and uncomfortable. | Aimed at the people most likely to be reading this | Even a rough split changes your next move.
blog_post__03__C__r0.txt	2	4,4	Here's how to do better. | Note the third item.
marketing_email__04__A__r3.txt	0		
linkedin__04__B__r2.txt	4	4,4,4,4	That's about 170 words, down from ~350. | I cut the two weaker scaffolding points and folded the failu | the closing question is the easiest thing to drop | I'd put the ramp-cost point back as its own beat
linkedin__01__C__r0.txt	2	4,2	I've left a few brackets where your specifics will land bett | Here's the honest version.
newsletter__02__A__r3.txt	7	4,5,4,5,3,4,4	Everything below is those four. | the concentration question from section one is the whole bal | the concentration question from section one | The caveat matters more than the rule | I cut "Your outcomes in this decade get decided by" from the | The lead still opens on the same point | the other two candidates are "probably by an order of magnit
blog_post__02__C__r0.txt	9	5,2,5,1,1,2,5,5,5	This definition matters because it clarifies what remote wor | It's worth being honest about the office instead of dismissi | This is the crux of the problem | Here's what I think actually happened when companies went re | The single highest-leverage practice I've seen | I don't want to be glib about this. | Early-career development is the real one. | The most useful reframe I've encountered | That's a harder question, and the answer is more useful.
blog_post__04__A__r1.txt	4	4,4,5,5	Here's the layer underneath that | Three things matter: | It's the highest-leverage tool a private buyer can carry | Everything else is secondary.
product_update__03__C__r0.txt	3	4,5,5	A note on the numbers above: I've used realistic placeholder | it's the difference between finishing a task and abandoning  | specific, verifiable numbers are what make a post like this 
recommendation__03__A__r3.txt	8	3,4,4,3,3,5,4,3	that superlative was my characterization, not anything you g | Everything else is unchanged. | Two flags before you publish | If I removed the wrong thing, tell me which claim you meant. | "Best-in-class" was my read of the ambiguity | More importantly | every number in this document is invented placeholder data | all came from me as illustrative scaffolding
product_update__01__A__r3.txt	2	3,3	Removed the render-time bullet. | Flagging two other things I invented that you may also want 
marketing_email__03__B__r1.txt	8	4,4,3,4,5,4,4,4	No definition of the provision, no "what this means for you" | Value proposition inverted. | The first version sold clarity. This one sells the unresolve | CPE moved up front. | For this reader it's often the deciding factor, and the elig | Urgency dropped. | Named panel with affiliations. | Deliverables reframed.
newsletter__03__A__r3.txt	10	6,5,4,4,2,3,4,3,1,3	Allen said it outright | That's the whole failure, and no amount of tooling touches i | You know the collapse curve, so skip to the consequence. | Not a methodology. Four properties: | the honest question is how many, not zero | Removed: the line comparing what the peak-Roam cohort shippe | Nothing else touched. | One other line I invented and you may want to look at | That reads as a research finding and isn't sourced either. | Say the word and I'll cut it or soften it
newsletter__02__C__r0.txt	9	2,2,5,5,4,4,5,4,5	Here's the honest answer | Not the aspirational one. The real one. | I'm showing you because it reframes what your twenties are f | and this is the hard part | A short list of things people will make you feel anxious abo | That's it. | Automation is the whole trick. | That's the issue. | If you take nothing else from it
linkedin__03__A__r1.txt	9	4,4,4,4,4,4,5,4,4	here it is written on the assumption your audience already w | So I'll skip the recap and go to the part I've been sitting  | **Optional harder close**, if you want it to land with more  | A few notes: | The insider version works better with **one specific admissi | I made month six the spine — swap it for whatever | the thank-you line matters more than anything else in the po | Consider putting it higher | I'll sharpen this to your voice
internal_memo__01__C__r0.txt	1	4	Want me to adjust the tone (more formal, more casual), short
recommendation__03__B__r1.txt	7	4,4,4,4,4,4,4	I've written this for your second-line reviewer | So: no recap, no explaining why CRM hygiene matters, and it  | If you meant the employee as the informed reader, see the no | If the informed reader you had in mind was [Name] himself, t | cut the accomplishments list to a sentence, cut the rational | Tell me which and I'll rework it. | with the development note attached as written
marketing_email__01__C__r0.txt	3	4,4,4	Here's a ready-to-send draft. | I've used brackets for anything you'll want to swap in. | A few notes: the opening is written to make the reader recog
product_update__03__B__r1.txt	2	4,4	Same caveat as before on the metrics — these are placeholder | Drop in your real benchmarks and device targets before this 
marketing_email__01__B__r3.txt	6	4,4,4,4,4,1	the beta stats line ... came out when I halved the length | So the short version stands as written | Two things worth checking | that one still has the stats line and I can strip it | a couple of lines here might need a look | Neither is a results claim as I read it
newsletter__01__A__r3.txt	6	3,4,5,4,3,4	Removed the September survey claim. | The opening now describes the pattern without sourcing it to | The last one does most of the work. | We covered those in the spring and they hold. | is a personal detail I invented. Swap in your real numbers o | the "twenty minutes to ninety over four months" line in the 
