file	arm	seed	round	model	served	genre	words	ctx_words	date	date_src	prompt
blog_post__03__A__r1.txt	A	blog_post__03	1	claude-opus-5	claude-opus-5	blog_post	1183	1490	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
blog_post__03__A__r2.txt	A	blog_post__03	2	claude-opus-5	claude-opus-5	blog_post	598	2698	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
blog_post__03__A__r3.txt	A	blog_post__03	3	claude-opus-5	claude-opus-5	blog_post	666	3326	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
blog_post__03__B__r1.txt	B	blog_post__03	1	claude-opus-5	claude-opus-5	blog_post	1351	1490	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
blog_post__03__B__r2.txt	B	blog_post__03	2	claude-opus-5	claude-opus-5	blog_post	762	2865	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
blog_post__03__B__r3.txt	B	blog_post__03	3	claude-opus-5	claude-opus-5	blog_post	851	3655	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
internal_memo__03__C__r0.txt	C	internal_memo__03	0	claude-opus-5	claude-opus-5	internal_memo	558	11	2026-09-01	recorded	Write a memo announcing a reorganization of the customer service team.
internal_memo__03__A__r1.txt	A	internal_memo__03	1	claude-opus-5	claude-opus-5	internal_memo	207	593	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
internal_memo__03__A__r2.txt	A	internal_memo__03	2	claude-opus-5	claude-opus-5	internal_memo	123	825	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
internal_memo__03__A__r3.txt	A	internal_memo__03	3	claude-opus-5	claude-opus-5	internal_memo	236	978	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
internal_memo__03__B__r1.txt	B	internal_memo__03	1	claude-opus-5	claude-opus-5	internal_memo	435	593	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
internal_memo__03__B__r2.txt	B	internal_memo__03	2	claude-opus-5	claude-opus-5	internal_memo	225	1052	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
internal_memo__03__B__r3.txt	B	internal_memo__03	3	claude-opus-5	claude-opus-5	internal_memo	266	1305	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
product_update__03__C__r0.txt	C	product_update__03	0	claude-opus-5	claude-opus-5	product_update	461	8	2026-09-01	recorded	Write a product update about improved mobile performance.
product_update__03__A__r1.txt	A	product_update__03	1	claude-opus-5	claude-opus-5	product_update	276	493	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
product_update__03__A__r2.txt	A	product_update__03	2	claude-opus-5	claude-opus-5	product_update	154	794	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
product_update__03__A__r3.txt	A	product_update__03	3	claude-opus-5	claude-opus-5	product_update	223	978	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
product_update__03__B__r1.txt	B	product_update__03	1	claude-opus-5	claude-opus-5	product_update	367	493	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
product_update__03__B__r2.txt	B	product_update__03	2	claude-opus-5	claude-opus-5	product_update	228	884	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
product_update__03__B__r3.txt	B	product_update__03	3	claude-opus-5	claude-opus-5	product_update	319	1140	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
recommendation__03__C__r0.txt	C	recommendation__03	0	claude-opus-5	claude-opus-5	recommendation	962	15	2026-09-01	recorded	Write a performance review for a sales rep who exceeded quota but struggled with paperwork.
recommendation__03__A__r1.txt	A	recommendation__03	1	claude-opus-5	claude-opus-5	recommendation	465	1001	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
recommendation__03__A__r2.txt	A	recommendation__03	2	claude-opus-5	claude-opus-5	recommendation	281	1491	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
recommendation__03__A__r3.txt	A	recommendation__03	3	claude-opus-5	claude-opus-5	recommendation	411	1802	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
recommendation__03__B__r1.txt	B	recommendation__03	1	claude-opus-5	claude-opus-5	recommendation	519	1001	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
recommendation__03__B__r2.txt	B	recommendation__03	2	claude-opus-5	claude-opus-5	recommendation	266	1544	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
recommendation__03__B__r3.txt	B	recommendation__03	3	claude-opus-5	claude-opus-5	recommendation	341	1838	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
linkedin__04__C__r0.txt	C	linkedin__04	0	claude-opus-5	claude-opus-5	linkedin	296	10	2026-09-01	recorded	Write a LinkedIn post about hiring for attitude over experience.
linkedin__04__A__r1.txt	A	linkedin__04	1	claude-opus-5	claude-opus-5	linkedin	303	330	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
linkedin__04__A__r2.txt	A	linkedin__04	2	claude-opus-5	claude-opus-5	linkedin	154	658	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
linkedin__04__A__r3.txt	A	linkedin__04	3	claude-opus-5	claude-opus-5	linkedin	177	842	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
linkedin__04__B__r1.txt	B	linkedin__04	1	claude-opus-5	claude-opus-5	linkedin	365	330	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
linkedin__04__B__r2.txt	B	linkedin__04	2	claude-opus-5	claude-opus-5	linkedin	233	719	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
linkedin__04__B__r3.txt	B	linkedin__04	3	claude-opus-5	claude-opus-5	linkedin	263	980	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
cover_letter__04__C__r0.txt	C	cover_letter__04	0	claude-opus-5	claude-opus-5	cover_letter	567	9	2026-09-01	recorded	Write a cover letter for a school administrator job.
cover_letter__04__A__r1.txt	A	cover_letter__04	1	claude-opus-5	claude-opus-5	cover_letter	455	600	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
cover_letter__04__A__r2.txt	A	cover_letter__04	2	claude-opus-5	claude-opus-5	cover_letter	279	1080	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
cover_letter__04__A__r3.txt	A	cover_letter__04	3	claude-opus-5	claude-opus-5	cover_letter	364	1389	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
cover_letter__04__B__r1.txt	B	cover_letter__04	1	claude-opus-5	claude-opus-5	cover_letter	550	600	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
cover_letter__04__B__r2.txt	B	cover_letter__04	2	claude-opus-5	claude-opus-5	cover_letter	298	1174	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
cover_letter__04__B__r3.txt	B	cover_letter__04	3	claude-opus-5	claude-opus-5	cover_letter	272	1500	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
newsletter__04__C__r0.txt	C	newsletter__04	0	claude-opus-5	claude-opus-5	newsletter	1340	10	2026-09-01	recorded	Write a newsletter issue about dealing with burnout at work.
newsletter__04__A__r1.txt	A	newsletter__04	1	claude-opus-5	claude-opus-5	newsletter	1486	1374	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
newsletter__04__A__r2.txt	A	newsletter__04	2	claude-opus-5	claude-opus-5	newsletter	776	2885	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
newsletter__04__A__r3.txt	A	newsletter__04	3	claude-opus-5	claude-opus-5	newsletter	877	3691	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
newsletter__04__B__r1.txt	B	newsletter__04	1	claude-opus-5	claude-opus-5	newsletter	1422	1374	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
newsletter__04__B__r2.txt	B	newsletter__04	2	claude-opus-5	claude-opus-5	newsletter	705	2820	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
newsletter__04__B__r3.txt	B	newsletter__04	3	claude-opus-5	claude-opus-5	newsletter	752	3553	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
marketing_email__04__C__r0.txt	C	marketing_email__04	0	claude-opus-5	claude-opus-5	marketing_email	485	13	2026-09-01	recorded	Write a marketing email re-engaging customers who haven't logged in for 90 days.
marketing_email__04__A__r1.txt	A	marketing_email__04	1	claude-opus-5	claude-opus-5	marketing_email	424	522	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
marketing_email__04__A__r2.txt	A	marketing_email__04	2	claude-opus-5	claude-opus-5	marketing_email	193	971	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
marketing_email__04__A__r3.txt	A	marketing_email__04	3	claude-opus-5	claude-opus-5	marketing_email	183	1194	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
marketing_email__04__B__r1.txt	B	marketing_email__04	1	claude-opus-5	claude-opus-5	marketing_email	496	522	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
marketing_email__04__B__r2.txt	B	marketing_email__04	2	claude-opus-5	claude-opus-5	marketing_email	196	1042	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
marketing_email__04__B__r3.txt	B	marketing_email__04	3	claude-opus-5	claude-opus-5	marketing_email	225	1266	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
blog_post__04__C__r0.txt	C	blog_post__04	0	claude-opus-5	claude-opus-5	blog_post	1416	14	2026-09-01	recorded	Write a blog post about what to look for when buying a used car.
blog_post__04__A__r1.txt	A	blog_post__04	1	claude-opus-5	claude-opus-5	blog_post	1165	1454	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
blog_post__04__A__r2.txt	A	blog_post__04	2	claude-opus-5	claude-opus-5	blog_post	613	2644	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
blog_post__04__A__r3.txt	A	blog_post__04	3	claude-opus-5	claude-opus-5	blog_post	661	3287	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
blog_post__04__B__r1.txt	B	blog_post__04	1	claude-opus-5	claude-opus-5	blog_post	1348	1454	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
blog_post__04__B__r2.txt	B	blog_post__04	2	claude-opus-5	claude-opus-5	blog_post	690	2826	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
blog_post__04__B__r3.txt	B	blog_post__04	3	claude-opus-5	claude-opus-5	blog_post	737	3544	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
internal_memo__04__C__r0.txt	C	internal_memo__04	0	claude-opus-5	claude-opus-5	internal_memo	332	11	2026-09-01	recorded	Write a memo to staff about a new mandatory security training.
internal_memo__04__A__r1.txt	A	internal_memo__04	1	claude-opus-5	claude-opus-5	internal_memo	133	367	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
internal_memo__04__A__r2.txt	A	internal_memo__04	2	claude-opus-5	claude-opus-5	internal_memo	82	525	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
internal_memo__04__A__r3.txt	A	internal_memo__04	3	claude-opus-5	claude-opus-5	internal_memo	119	637	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
internal_memo__04__B__r1.txt	B	internal_memo__04	1	claude-opus-5	claude-opus-5	internal_memo	306	367	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
internal_memo__04__B__r2.txt	B	internal_memo__04	2	claude-opus-5	claude-opus-5	internal_memo	193	697	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
internal_memo__04__B__r3.txt	B	internal_memo__04	3	claude-opus-5	claude-opus-5	internal_memo	237	918	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
